Company,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
TELEGRAPH MEDIA GROUP LIM,778916.94,524587.65,612586.49,511563.3,486211.67,390498.28,442259.92,452520.56
"TELEPHONE AND DATA SYSTEMS, INC.",6911722.66,5520501.2,7428764.68,10438839.48,11233233.18,8757017.38,9398655.13,8313840.5
TELESAT CANADA,691708.24,463224.58,628970.8,394218.43,622564.6,373508.05,426688.53,513727.23
"TELVISTA, INC.",69540.84,65378.08,85483.75,60062.31,80153.21,49680.65,57013.07,62917.53
TEMASEK HOLDINGS,4228611.11,4203549.61,3636362.44,4007858.83,5084970.33,5118306.01,3967857.9,4625192.4
TEMPEL STEEL COMPANY,393293.37,283756.33,350879.64,338106.95,389549.29,367997.53,503362.4,445221.59
TEMPLE UNIVERSITY,2487981.35,2134733.14,2849309.09,2080510.87,2636232.44,2127376.57,3300775.78,2359871.98
"TEMPUR-PEDIC MANAGEMENT, LLC.",5615308.36,5326804.41,5733093.74,5459057.55,5466721.12,4757159.96,5295914.62,4781427.53
TENCO INTEGRACION DE SISTEMAS S.A. DE C.V.,62436.55,66944.95,58581.53,73822.42,93473.98,79931.98,49663.44,96158.44
TENET HEALTHCARE,16552090.2,13431052.62,14553087.99,13363020.91,13938092.4,12357925.45,13985909.1,10878033.77
TENNANT COMPANY,5795979.54,4852812.55,5630412.9,5343961.93,4725449.02,5049681.13,5428153.37,5164808.71
"TENNESSEE HEALTH MANAGEMENT, INC.",168496.86,164721.91,227515.59,207041.02,207822.19,222168,271760.45,274614.97
TERUMO MEDICAL CORPORATION,5486121.67,5120832.57,5023327.22,5261327.35,5586212.8,6596393.15,6111243.29,6820527
"TESA TAPE MEXICO, S. DE R.L. DE C.V.",130839.62,103791.91,148746.88,123789.25,173421.61,103252.62,171802.27,149305.61
TESCO STORES LIMITED,4577040.15,3829573.63,3774906.51,3595160.45,4054615.64,3480136.78,3150422.52,2721074.9
TETON INDUSTRIAL CONSTRUCTION,508050.4,443168.45,481875.84,544769.58,565837.09,411319.64,439543.89,326110.48
TEXAS A&M ENGINEERING EXTENSION SERVICE (TEEX),1623330.27,1910091.06,2095188.56,1724777.73,1726535.67,1564076.89,2118051.07,1798209.77
TEXAS A&M UNIVERSITY SYSTEM,13967938.89,12681797.64,17568946.58,16686707.42,14604099.98,13845560.67,18665587.46,18670152.78
TEXAS INSTRUMENTS INCORPORATED CTE,23111366.2,19440558.03,22127171.37,21571499.06,23233972.98,20540579.76,23571575.4,22071713.53
TEXAS ROADHOUSE,5126466.46,5191185.1,4780999.03,4849112.35,4927837.8,4942789.35,5783364.75,5484169.36
TEXTRON,36318806.18,32428802.84,35527074.84,33315606.96,35609221.1,31908247.53,35207905.42,35199020.34
TEXTRON FASTENING SYSTEMS,657150.15,597238.35,694479.88,654047.33,622394.92,578138.21,631073.61,595471.86
"TF COURIER, INC",405314.75,369185.66,378385.03,447464.25,447703.9,361916.69,343066.39,361473.77
"THALES USA, INC",3718132.66,3173699.02,3889673.14,3550813.28,4619470.49,3793419.36,3428991.44,3101208.46
THE ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,5402459.5,4320788.18,5392893.28,5153072.56,5185328.9,3981271.11,7093098.93,4934566.74
THE AEROSPACE CORPORATION,5133953.29,4783788.86,5622366.35,5920789.92,4985482.3,4703380.77,5795152,6280772.52
THE ARIZONA BOARD OF REGENTS FOR AND ON BEHALF OF ARIZONA STATE UNIVERSITY,5877063.49,4750768.81,8020159.83,6785232.83,7013526.22,6031595.92,10947702.71,7643161.37
THE ART INSTITUTE OF CHICAGO,947883.07,734480.63,798600.95,650449.7,884536.64,765661.36,802047.55,591905.45
"THE BAMA COMPANIES, INC.",627727.26,563024,647579.87,574650.15,524083.27,593525.2,566711.27,741769.38
THE BLACKSTONE GROUP L.P.,23852447.13,11627433.11,13759604.95,13219919.12,20814772.3,9796544.11,12073619.43,12891661.88
THE BODY SHOP INTERNATIONAL,1168469.92,1373176.72,1554838.72,1269914.74,1209871.52,1149364.1,1405000.06,1405493.38
THE BOEING COMPANY,195040309.7,163667630.8,154843062,134016925.7,137518547.2,129744374.6,145780055.6,139612005.8
THE BUCKLE INC,413335.52,375280,538649.89,385744.83,391224.62,352457.75,457146.31,385077.86
THE CADILLAC FAIRVIEW CORPORATION LIMITED,608871.2,1396494.1,1407403.78,1319606.09,1441533.57,1059026.25,1143205.06,1078256.76
THE CARLSTAR GROUP LLC,2318909.23,1521038.8,1704084.35,1483669.25,1547780.6,1121599.35,1170780.11,1153594.37
"THE CHAMBERLAIN GROUP, INC.",4141176.81,4113009.6,4339788.54,4149469.29,4132274.21,4095533.7,4510807.59,4569533.43
"THE CHARLES MACHINE WORKS, INC",1743437.57,1389788.02,1523302.56,1230472.94,1396762.64,1440416.26,1407638.63,1164665.57
THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY,659010.98,671592.47,1021911.25,628174.49,633220.82,811144.83,1119403.44,755943.39
THE CHILDRENS HOSPITAL OF PHILADELPHIA,3870903.59,3183241.12,4955188.13,2745281.98,4474748.53,3431296.5,5586085.15,2890539.48
THE CHILDRENS PLACE RETAIL STORES INC,718566.91,917971.83,1310696.19,1280790.92,1523605.55,1294392.53,1259452.39,1239959.35
THE CORPORATION OF GONZAGA UNIVERSITY,1035057.8,1194314.32,1432654.03,1092171.3,1725211.11,1599935.23,2749679.64,1506721.96
THE DIXIE GROUP,1398263.3,1287324.81,1346248.65,1315559.88,1318508.87,1280106.19,1428683.67,1337033.76
THE ENDURANCE INTERNATIONAL GROUP INC,451615.92,684614.97,779355.69,665071.13,957148.6,1035916.61,996131.14,979718.74
THE FLIGHT SHOPS INC.,1287548.06,976105.22,1450785.02,1343074.06,1528430.6,1202918.59,1431096.84,966728.61
THE FREEMAN COMPANY,9413061.53,8595263.51,9816153.85,7735276.69,9787622.06,9266454.28,12463221.47,10111763.11
THE FRESH MARKET INC,973842.86,1053471.99,1067741.39,889193.69,1065108.44,1275518.22,926983.9,1125617.03
THE GAVILON GROUP LLC,1932361.01,1871409.11,1910667.82,1939877.89,1616145.27,2008909.69,1945764.64,1797608.14
THE GEO GROUP INC,1996135.4,2066258.05,2893965.6,2965085.17,2867278.12,3089075.31,3294452.56,3351831.51
THE GEORGE WASHINGTON UNIVERSITY,10830760.61,10302336.49,15325434.44,8593735.64,13087953.88,12259030.78,17708237.09,11620614.42
THE GLOBE AND MAIL INC.,598737.76,439627.83,580256.23,344621.23,422913.17,528200.44,715594.71,577900.02
THE GREENBRIER COMPANIES INC,3174303.94,3769098.95,4113352.15,3970383.23,4299663.84,4069839.22,4463458.96,4469689.62
THE GYMBOREE CORPORATION,1172526.82,1262853.83,1112436.43,847698.14,736547.22,971999.84,945608.08,801716.26
THE HAIN CELESTIAL GROUP INC,926508.51,868633.5,954306.22,773532.98,776881.07,855516.35,982725.38,974282
THE HANOVER INSURANCE COMPANY,4992415.09,3604878.77,4574040.56,4196618.11,4799170.49,3641589.33,4375724.07,3418287.22
THE HEARST CORPORATION,18707515.2,15909104.15,17976631.59,16016186.95,18092568.39,16931107.53,18550277.52,16378735
THE IRISH DAIRY BOARD COOPERATIVE LTD.,1037370.87,692893.62,894757.22,974900.41,983342.28,914672.34,741064.22,783872.3
THE KANSAS CITY SOUTHERN RAILWAY COMPANY,7458749.51,6953215.26,6666464.46,6950253.1,7109827.76,6855321.51,8323314.14,9361570.65
THE KRYSTAL COMPANY,418493,378794.63,444086.73,397443.79,375252.61,367833.92,216433.67,214653.33
"THE LEUKEMIA AND LYMPHOMA SOCIETY, INC",2688750.27,2026783.78,4778093.49,3539083.24,3742402.93,4340569.89,6284050.1,3421706.1
THE LINCOLN ELECTRIC CO,2161561.86,2035479.83,2628602.12,2557316.9,3460685.36,2814603.73,3609354.9,3507916.33
THE MARTIN AGENCY INC.,818289.25,855068.11,1021192.44,837697.7,785007.93,640117.09,797812.61,621822.78
"THE NASDAQ OMX GROUP, INC.",7579531.38,6376856.63,8414592.49,7527774.86,8963491.36,7726429.22,8945844.83,8640800.9
THE NATURE CONSERVANCY,10383918.03,9472044.8,13382398.9,8057655.27,10936224.37,9961111.06,13254680.84,7569401.01
THE NEW YORK AND PRESBYTERIAN HOSPITAL,2040565.07,1469666.68,1959515.65,1490877.13,2243308.77,1750680.96,2232843.4,1519782.22
THE NORDAM GROUP,3469506.33,2331287.53,2882390.9,3036876.44,3436731.95,2356902.95,2968364.87,3126111.95
THE NORMA GROUP,252284.27,191127.75,193659.71,244943.35,283804.62,297850.58,286092,394962.14
THE PHILLIES,1016911.08,943366.11,1606742.27,1476236.85,1074419.1,1135918.01,1915216.78,1807876.66
"THE PRINCETON REVIEW, INC.",566561.17,619637.64,1020695.06,902077.94,644859.69,649045.72,643060.15,757966.79
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA ON BEH,9722634.65,8968240.37,11299700.23,8535894.88,10075254.82,9477830.83,12323346.71,9264884.26
THE REGENTS UNIVERSITY OF MICHIGAN,34571643.44,33726429.2,40402416.68,29037878.8,33440383.38,34641484.35,41982001.35,29266777.34
THE RESTAURANT GROUP (UK) LTD,529663.95,446391.6,587120.74,510185.53,618422.45,424201.42,346825.94,295120.09
THE ROYAL BANK OF SCOTLAND PLC,2597863.11,1951922.3,1733172.54,1190530.71,1276163.83,936854.95,766346.09,670080.82
THE ROYAL MINT LTD.,426253.86,254139.59,282295.59,231320.64,299964.26,315508.05,261889.51,267758.1
THE SCOTTS COMPANY LLC,3856540.25,4446829.79,5040428.87,3422218.83,4146782.15,4364956.68,4017722.96,3072663.8
THE SOUTHERN BAPTIST THEOLOGICAL SEMINARY,295221.06,177671.88,216754.37,152195.56,259687.56,206291.48,287349,183284.75
THE STANDARD LIFE ASSURANCE CO.,7493653.01,6362902.24,6873522.41,5618678.01,6817321.68,5473082.69,5580011.79,5461931.87
"THE STAYWELL COMPANY, LLC.",602490.25,468815.6,632887.94,563483.77,726138.99,522731,658954.04,639871.09
THE SUN PRODUCTS CORPORATION,1840688.67,1283020.8,1626194.86,1711913.61,1715844.42,1752099.59,1826094.35,1275432.74
THE SWATCH GROUP (CHINA) LTD.,2418152.72,1289036.59,1908283.43,896229.49,1186021.2,722384.48,1182777.67,905416.54
THE SWATCH GROUP MEXICO S.A. DE C.V.,96991.69,96128.37,159248.82,119023.29,129867.52,85050.64,112106.79,137967.87
THE TIMKEN COMPANY,4836543.35,4678994.64,5932872.06,5532189.31,5846529.64,5253666.47,6289081.24,5824040.38
THE TORO COMPANY,11533239.2,10219762.1,10411213.76,8982859.84,11638275.44,9626094.95,10331431.46,9028283.69
THE TRUSTEES OF PRINCETON UNIVERSITY,13342929.57,12925512.94,18689780.34,9696551.44,14189868.03,13670230.57,19929080.96,10529232.58
THE UNIVERSITY OF MANITOBA,2545811.2,2331210.17,2631341.17,2375371.99,2429891.01,2533446.66,2644355.37,2279500.89
THE UNIVERSITY OF NOTTINGHAM,2353172.77,1832888.96,2594472.18,2537900.88,2140846.86,1934547.32,2569310.66,2682946.3
THE UNIVERSITY OF TULSA,1227329.29,1665574.4,1174157.22,984135.25,1138942.32,1627534.5,1422334.81,850163.37
THE VALSPAR CORPORATION,9591698.19,9300896.57,10059577.45,8875543.87,9321193.81,9560877.66,10802186.1,8232235.16
THE VANGUARD GROUP INC,12164194.08,9616171.89,12028425.29,10312141.69,14238150.39,13465420.32,15931433.78,13694824.77
THE VINCIT GROUP CTE,2479478.88,2537774.34,2396687.48,2506452.88,2658629.31,2758231.54,2930073.77,3083870.09
THE WALSH GROUP,7264809.61,5614400.12,6599499.7,6996083.86,7159772.23,5900889.59,6927832.95,6322111.31
"THE WARNACO GROUP, INC",1195464.43,1285427.71,1161618.03,1277332.5,1424491.4,1292994.52,1266337.85,1478237.37
THE WASSERSTROM COMPANY,287683.03,398313.66,367237.61,317366.06,334516.59,324505.39,401218.97,324148.52
THE WEINSTEIN COMPANY,492021.22,1355021.74,1046450.96,589053.54,569198.06,454114.4,590500.58,569248.23
THE WILLIAM CARTER COMPANY,3281052.13,2774690.34,2826274.78,3084475.19,2472472.15,2555489.85,2558164.81,2682521.67
THE WINE GROUP.,1127529.14,1132646.23,1290921.35,1246007.72,1170374.85,1186981.77,1284716.68,1446595.52
THE WONDERFUL COMPANY LLC,5747634.38,6364414.9,6615183.56,6126144.34,7114138.27,6541074.56,7934738.8,7364526.7
THERMO ENVIRONMENTAL INSTRUMENTS INC.,1143612.01,968522.03,1057637.24,1043718.73,947709.16,964347.12,1066057.12,804125.97
THERMO FISHER SCIENTIFIC K.K,1944175.35,1409493.33,1695130.29,1519270.3,1816287.44,1032043.43,1270239.9,1368799.57
THOMAS COOK GROUP UK LIMITED,3033080.27,2579552.31,2700752.97,2425367.82,2249224.72,2606345.99,2399274.01,2693586.65
"THR PROPERTY MANAGEMENT, LP",479492.43,308327.75,348773.69,521141.79,680392.99,445719.51,428469.65,442852.05
TIFFANY &AMP; CO ASIA PACIFIC LTD.,209600.92,161887.74,104705.8,297781.01,290070.98,148654.97,284563.54,307056.66
TIMBER WEST FOREST CORP.,365326.52,250150.32,294731.8,294997.98,386481.14,245991.9,322281.95,397136.61
TIME INC.,14632376.28,11096138.01,12480330.32,10906189.51,12815227.91,8988370.75,8491273.45,7334318.92
TIME WARNER INC.,45897271.23,44440305.94,51283751.23,47252875.29,53152980.03,46784209.78,63066442.42,67323343.82
"TITAN INTERNATIONAL, INC",941196.99,826889.65,941698.57,809477.38,908171.61,851518.26,731057.51,799882.97
TK CANADA LIMITED,1585398.17,1260874.39,1811279.96,1595685.49,1955164.7,1878766.43,2125130.25,1765517.15
TK HOLDINGS INC.,1292339,1335264.73,1294439.39,1368094.12,1658054.75,1469742.16,1354488.31,1026132.54
"TMNA SERVICES, LLC",3548590.25,2407596.68,3187522.56,2686695.94,3707733.87,2758024.89,3254460.27,2685935.89
T-MOBILE,28668672.29,24463711.27,29409490.5,32243159.11,31407462.2,30990374.48,33634731.03,35121534.33
"TMX FINANCE, LLC",2364115,1600554.4,1761606.84,1756359.64,2039673.41,3127811.01,2219765.77,1786874.72
"TOD’S (SHANGHAI) TRADING CO., LTD.",448998.12,372060.2,385670.05,398741.29,428672.14,388611.57,435067.04,322923.86
TOKYO ELECTRON US HOLDINGS,4242899.1,4240610.77,4010872.39,5035636.4,4470215.69,5087667.68,4593476.42,4395302.79
"TOLL BROS., INC.",10062932.72,10217439.34,11861288.64,12255976,11636613.67,11933328.71,13792212.68,13855659.22
TOMRA CORP,726119.57,449292.04,593101.14,623655.52,825056.11,549800.02,662408.65,579644.55
TOMTOM GLOBAL CONTENT B.V.,2661219.27,1971774.9,2123941.15,2192529.71,2481378.76,1858415.4,2138243.82,2071609.02
TORY BURCH,998755.65,716936.62,828425.35,912334.37,1165469.17,869643.17,1010492.66,1270249.11
"TOSHIBA AMERICA MEDICAL SYSTEMS, INC.",4763180.25,4503746.51,4140089.03,4403815.45,4631570.69,3896412.27,4162182.74,4339122.68
"TOSHIBA AMERICA, INC.",4442927.84,3847459.03,3321108.45,2979304.87,2834822.46,3186498.91,2899007.02,3118816
TOSHIBA INTERNATIONAL CORPORATION,2035826.2,1549979.56,1772003.9,1864997.11,1600601.97,1498372.4,1526482.27,1680198.35
"TOSHIBA MEDICAL RESEARCH INSTITUTE USA, INC.",315743.37,409702.48,340260.39,268704.14,283848.47,385027.7,316410.53,399644.06
TOSHIBA MEDICAL SYSTEMS EUROPE B.V.,257122.45,245667.58,236406.94,205379.33,259778.83,314398.99,247346.89,242190.63
TOSOH EUROPE N.V.,390594.22,276914.38,317793.13,273512.72,426338.04,245265.04,310162.46,300087.74
"TOTAL SAFETY U.S., INC.",221611.33,179164.19,233611.58,159962.48,219559.38,184025.35,319730.59,209488.97
"TOWER AUTOMOTIVE, INC.",1383719.97,1101500.85,1366839.82,1155966.23,1220675.7,1129539.62,1450167.73,1245051.58
"TOWNE PARK, LLC.",957143.25,1158092.89,1297870.59,1190905.94,1252423.35,1478228.24,1348607.36,1318206.88
"TPG GLOBAL, LLC",12688321.32,12977582.11,12720620.26,12827490.83,15042129.61,13994173.44,14677452.72,13440746.78
TRACTOR SUPPLY COMPANY,2325635.51,2196000.96,2178507.14,2265601.12,1630905.8,2129905.86,2146606.18,2173035.84
TRADER CORPORATION,594997.49,456078.59,518174.99,418012.92,612793.85,431805.52,335928.29,378793.51
TRANS UNION LLC,4887666.09,4411669.05,5342180.75,5089850.2,6420262.9,5114887.51,6590164.05,6241709.36
"TRANSCENTRA, INC.",367208.35,265386.75,339345.29,297598.6,339546.49,295485.95,273816.38,239453.41
"TRANSDEV SERVICES, INC.",1869598.92,1766398.87,2442403.94,2260626.63,1927424.99,1695238.41,2617096.1,2182768.51
"TRANSPERFECT TRANSLATIONS INTERNATIONAL, INC.",4212998.96,4096886.15,4254183.02,3553856.35,4077548.4,3395226,5863263.64,3493085.4
TRANSSYSTEMS CORPORATION,1826825.18,1482784.09,1799453.34,1711242.92,1751208.66,1299886.31,1497824,1415239.64
"TRAVEL AND TRANSPORT, INC.",1132842.1,1336075.67,1339976.43,1128248.03,1215932.33,1416326.78,1102951.89,1412245.85
TRAVELPOOLEUROPE FMBA TPE,15259.07,8385.38,9499.05,13650.39,22934.05,9597.73,7291.06,14884.04
"TRC COMPANIES, INC",9458597.4,8242319.27,9697166.03,10243777.47,11445917.76,9892947.3,11987474.98,11278028.89
TREDEGAR CORPORATION,750714.66,647211.08,859419.6,864218.34,849558.43,873172.37,1034238.54,836307.72
TREK BICYCLE CORP.,1131139.49,769530.23,964574.25,1198904.32,1457079.85,1213163.35,1479800.02,1305114.95
"TRELLEBORG SEALING SOLUTIONS US, INC.",392665.2,569534.23,676263.19,558745.81,711608.86,599546.69,728700.77,748343.98
TREMCO INCORPORATED,5439288.91,5529901.33,6146951.45,5842135.3,6415008.29,6271612.74,6724521.74,7994784.63
TRIBUNE MEDIA,4230870.5,4516639.04,4426705.32,4011149.7,4488763.4,4217134.74,3924823.06,2886873.07
TRICO PRODUCTS CORPORATION,182626.5,204801.2,202538.84,199543.61,279122.96,208267.48,223889.31,257517.65
TRIMAS CORPORATION,1448768.56,1426535.37,1489568.23,1440092.1,1209901.06,1243452.34,1263131.94,1332564.1
"TRINITY INDUSTRIES DE MÉXICO, S. DE R.L. DE C.V.",628424.27,308416.06,434341.84,394702.14,464902.97,316169.07,370893.88,428578.76
"TRINITY INDUSTRIES, INC.",5079866.44,4120824.76,4449831.48,3841261.85,4119218.9,3586648.08,4203059.04,3879123.09
"TRI-STARR MANAGEMENT SERVICES, INC",242041.06,256411.64,299432.13,326575.34,231405.67,163396.29,118292.3,151952.19
TROJAN TECHNOLOGIES,1798952.59,1465121.07,1753836.55,1891797.1,1672497.84,1464082.64,1864144.72,1483185.66
"TRUCK-LITE CO., INC.",968787.16,925121.09,917070.17,872305.73,908261.84,881986.01,906422.95,950485.56
TRUCKPRO INC,458250.56,347404.94,415663.23,427672.63,471087.61,334268.08,496935.19,469894.6
"TRUEBLUE, INC.",5226300.85,3778494.68,3719330.66,3684955.09,4623522.17,3399150.81,4137112.72,4261211.51
TRUGREEN LTD. PTN,6013037.82,8366708.4,8383525.23,8415266.11,6973180.79,9668662.33,12651076.95,9984423.9
"TRUSTED MEDIA BRANDS, INC.",389522.24,399756.63,465639.75,384451.84,443933.96,395798.07,407751.32,366823.32
TRUSTEES OF BOSTON UNIVERSITY,7315847.35,6016762.46,11045438.71,6282679.99,8388384.85,7110777.6,11320581.07,6708075.9
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,9967286.93,9547714.73,13192116.02,9391504.56,10944610.66,10457918.51,13841874.96,9779687.98
TRUSTMARK INSURANCE COMPANY,272525.46,259272.48,273149.03,305845.29,268860.32,240156.87,278513.56,242946.12
TRUVEN HEALTH ANALYTICS INC.,3585300.9,3144050.59,3900893.23,3328100.97,3689160.74,2793582.47,3400889.69,2665858.63
TRW AUTOMOTIVE U.S. LLC,17932772,18150095.75,21544877,18431641.65,22819241.81,20882933.62,22714241.21,21978574.64
TSI INC,429290.38,344676.36,373164.2,353042.78,443977.34,213701.37,296245.03,279810.93
TTI ELECTRONICS ASIA PTE LTD,292519.55,218376.32,287267.91,261412.29,338485.75,188639.24,252891.26,283803.71
"TTI, INC",691243.46,436163.11,632718.5,614407.58,616933.44,500175.84,567415.77,676600.21
"TTM TECHNOLOGIES, INC.",736790.77,565499.38,665992.51,594829.44,715533.98,577962.45,858930.54,1393357.28
TUBE LINES LTD,18630.53,44115.13,15950.84,16296.85,22102.68,32482.12,4469.55,4471.43
TUI UNIVERSITY,70068.41,94537.19,100380.02,85642.58,78195.22,99458.14,114948.08,134060.13
TURNER CONSTRUCTION,10508606.77,9640379.21,10388500.35,9780738.65,10317606.04,10519294.5,10484437.83,10178532.33
"TWENTYEIGHTY, INC.",992989.41,811188.71,888539.38,851642.24,1271328.12,1211119.12,1224255.42,1182422.86
TWIN DISC INC,378866.23,224135.12,277686.57,324795.1,305701.54,322187.23,309998.86,297856.11
"TWITTER, INC.",17608986.32,14370448.15,15551192.74,14281448.22,13667901.03,11505057.33,12999991.55,11605946.7
"TYCO ELECTRONICS CORPORATION, A TE CONNECTIVITY LTD. COMPANY",24811302.99,23466045.37,25886474.13,27351951.86,32665370.47,30982842.07,35811066.08,34052294.9
TYCO FIRE & SECURITY GMBH,17255021.3,16318547.05,18429506.4,22119839.58,26708137.76,24777733.37,26013915.91,23860575.55
TYDEN GROUP HOLDINGS CORP,576794.9,529068.07,616940.33,519561.88,425243.77,457470.7,512117.21,487486.01
"U.S. ANESTHESIA PARTNERS, INC.",395804.69,368648.65,472571.92,466241.37,510585.55,496232.83,495144.63,602530.4
UC HASTINGS COLLEGE OF THE LAW,691646.68,537349.25,757799.95,734203,710805.6,613043.29,672559.09,606868.36
UGN INC,548545.04,394855.32,437397.4,450028.63,556359.82,439483.67,523599.28,527864.37
"ULTA, INC.",3870991.25,3081526.99,3739747.69,3661480,4485900.18,4318292.85,5879850.39,4686970.67
ULTIMATE SOFTWARE GROUP INC,9269811.72,10318245.97,11802620.35,10724865.8,12151156.87,11581494.61,10625571.41,9167417.01
ULTRADENT PRODUCTS GMBH,82671.31,92323.73,100449.48,81390.78,123816.28,100067.59,127134.73,93910.92
UMPQUA BANK,3235962.17,2067538.14,2076440.25,1841744.21,2489065.89,1978443.93,2225035.11,2055430.55
"UNDER ARMOUR, INC.",13078482.18,11671830.43,12826005.17,12612251.15,13357821.32,11846036.7,10394268.59,10862549.52
UNIBAIL MANAGEMENT SAS,423061.23,456985.84,494183.69,440446.75,515696.01,495446.61,427263.54,472978.76
UNICHARM CORPORATION,2555423.49,2259690.42,2639026.48,2555857.7,2895740.16,2398236.36,2593083.83,2628078.02
"UNIFIED GROCERS, INC.",1014608.92,967623.74,1033101.67,1001933.3,986716.12,1044246.51,1150008.29,588515.67
UNIGLOBE PREFERRED TRAVEL,724.4,4314.74,2121.38,3568.98,1575.65,1158.43,1304.14,860.59
UNION BANKSHARES CORPORATION,534761.22,497042.07,588352.24,517038.35,633788.76,590059.77,635096.23,597766.78
UNISYS CORPORATION,13723210.1,10695614.66,12793957.91,11723372.53,12205987.74,11384983.06,11916297.43,10248508.78
